Raf Mek Plcg PIP2 PIP3 Erk Akt PKA PKC P38 Jnk I_1 I_2 I_3 I_4 I_5 I_6 I_7 I_8 I_9
-0.7403958207 -0.5904867568 -0.569363174 -0.6159553479 1.2425556421 -0.8049341205 -0.9528531676 0.1179477783 0.3501377052 0.2211357454 0.4557855112 0 0 0 0 0 0 0 0 0
-0.4531239393 -0.446654631 -0.2958246974 -0.6690768434 -0.768072673 0.1728867008 -0.2803708686 0.0011534036 -0.8811885626 -0.5414350129 0.7458739594 0 0 0 0 0 0 0 0 0
0.0175016933 0.1870238956 -0.1548331969 -0.9790216905 -0.2910814815 -0.0367456644 -0.2803708686 0.0985610385 0.0460916196 -0.0392546299 -0.0287307106 0 0 0 0 0 0 0 0 0
0.2101842456 0.5930839238 0.2225300549 -0.8049140998 -2.6388090253 -0.9236121679 -1.3317458258 0.2930515925 0.1859273165 -0.1224371947 0.0855209846 0 0 0 0 0 0 0 0 0
-0.5122277033 -0.3291352273 -1.0055149457 -1.008323379 0.3652744648 0.2920796663 0.0823943455 -0.1020235953 -0.6345865575 -0.203880253 0.9340985265 0 0 0 0 0 0 0 0 0
-1.0577000874 -1.4016557031 -0.0011301696 -0.498760239 -0.470121771 -0.2492346629 -0.5239790435 0.3969796546 0.1859273165 0.2892523784 0.7040299497 0 0 0 0 0 0 0 0 0
-0.2440528641 0.0651046646 -0.4338315717 0.6113615517 -0.0612016793 -0.5496224841 -0.8993189692 0.6230116373 0.2549040597 0.0507318815 -0.0789734971 0 0 0 0 0 0 0 0 0
-0.1934119495 -0.5080889216 -0.1548331969 -0.2986596108 0.0109846713 0.2508806083 0.0642277811 0.2031272275 -0.388433174 -0.2434210671 -0.0116569647 0 0 0 0 0 0 0 0 0
0.5409695176 0.4013940311 -0.4181647996 -0.5275219952 0.8957829199 -0.281550284 -0.6168468537 0.1699312265 0.7617377201 0.454563433 0.1468702542 0 0 0 0 0 0 0 0 0
-0.9498318306 -0.2760411737 -1.8407127465 0.8847936845 0.9409546746 -0.1512440481 1.1974047457 -0.360485229 0.2343385886 -0.1748022937 1.0804211265 0 0 0 0 0 0 0 0 0
-1.1853439418 -0.450573015 -0.1604860073 -0.6617259534 -0.4425310131 0.327251719 -0.2153943331 0.1763734128 0.4888618224 0.2211357454 0.1141005554 0 0 0 0 0 0 0 0 0
0.2266813938 -0.235378998 -0.7027027939 -0.7191029904 0.4210797015 0.2830782664 -0.1599183083 0.0731070406 0.8290275494 0.5702016691 0.3753008098 0 0 0 0 0 0 0 0 0
0.3535220029 0.1176481635 -0.5619366615 0.1703784409 -0.3981485378 -0.7963936421 -1.2971513392 0.2930515925 0.3893893018 0.2074409938 1.1853299737 0 0 0 0 0 0 0 0 0
-0.4299826645 -0.0787274612 -1.0361900078 -1.052638684 -0.1123418865 0.1366303161 -0.8993189692 0.0931818639 0.2343385886 0.1593144631 1.3516280988 0 0 0 0 0 0 0 0 0
-0.6461834836 -0.202457519 -0.449802572 -0.6993825101 1.0062478204 -0.5323196696 -1.8400929187 0.2538250295 -0.074430745 -0.4299696882 -0.6372120451 0 0 0 0 0 0 0 0 0
-0.1435034431 -0.5618343872 -0.3230166176 -0.8188729559 -0.43349809 0.1471319779 -0.4387436691 0.0786377427 1.2599198687 0.631999056 -2.0319097339 0 0 0 0 0 0 0 0 0
-0.7475030993 -0.1364199871 0.1558058624 -0.9377932841 -0.1661927449 -0.5069452639 -0.1208590233 -0.988718439 1.0011936079 0.5087819658 -1.7954348252 0 0 0 0 0 0 0 0 0
-0.3614470637 0.0944476885 -0.4259608832 0.3884695008 0.2753626324 0.5458901026 -0.3194126577 -0.3274560643 0.3274232987 -0.0659854441 -0.6606332767 0 0 0 0 0 0 0 0 0
-0.6054740862 -0.3291352273 -0.7027027939 0.6160494453 -0.0993135393 0.1979581932 -0.1684829112 -0.0697145414 0.6156823242 0.0778284469 -0.1133684438 0 0 0 0 0 0 0 0 0
-0.1604795378 -0.446654631 -0.2315356826 0.6523308786 0.401499189 0.6587322829 0.3915709288 0.5062662476 0.2132017818 -0.1550886232 0.055676427 0 0 0 0 0 0 0 0 0
-0.3877756394 -0.8445549074 -0.3655682097 0.3437837784 0.0339505562 -0.2334819675 -0.1771187877 0.6298761423 0.085119462 -0.127782831 0.0180270079 0 0 0 0 0 0 0 0 0
-0.5723607065 -0.3977715166 -0.1604860073 -0.9551286312 -1.2805276696 -0.3949286125 -0.5993318642 -0.1739504106 0.1914609853 -0.127782831 -0.3179119542 0 0 0 0 0 0 0 0 0
-0.3289762126 -0.1080825807 -2.3599215806 0.6344550276 0.3277105396 0.6309774056 0.1666691462 0.7271799353 -1.8055866475 0.700995665 -1.0013081052 0 0 0 0 0 0 0 0 0
0.1762897802 0.3199482968 -0.1109571589 -0.4372636555 -0.2989286027 -0.4221896326 -0.4387436691 0.1763734128 0.9189108228 0.7831492801 0.5829407042 0 0 0 0 0 0 0 0 0
0.1762897802 0.1586372194 -0.0011301696 -0.5334376871 -0.5081148747 1.2703194294 0.8671252062 1.2449596959 0.9189108228 0.2412270209 -0.0902446833 0 0 0 0 0 0 0 0 0
-0.9322800916 -2.2536227492 -0.6213265993 0.8074533442 0.9409546746 0.1829952447 -0.1045591306 0.4360273803 0.1803531076 -0.1066217469 -0.7157901844 0 0 0 0 0 0 0 0 0
-0.3709354968 -0.2297739872 0.0443223153 -0.498760239 -0.4984826021 0.1313354011 -0.2899944785 0.2031272275 -0.0164813848 -0.2785604224 -0.7215623475 0 0 0 0 0 0 0 0 0
0.1682902794 -0.3098928377 0.0957441005 -0.6125703643 -1.033687036 -0.3765758058 -0.5526363654 0.2538250295 0.5701462354 0.2767387493 0.7224441161 0 0 0 0 0 0 0 0 0
-0.4795268995 -0.2524925391 -0.020038604 0.0083690669 0.2931132524 0.7512969495 0.1953264681 -0.0949771164 0.157638701 0.1118676202 1.5275290887 0 0 0 0 0 0 0 0 0
-0.3358399103 -0.184002249 -0.2503003141 0.1479661462 0.8042633668 -1.0426656886 -1.1037049062 0.4677369493 0.7325207371 0.1666390391 0.0855209846 0 0 0 0 0 0 0 0 0
-0.2275473114 -0.4786896548 -0.2377431134 -0.5216621126 -0.8500370046 0.4098492122 0.1478196947 0.9857418467 0.4545307611 0.1039941646 0.0180270079 0 0 0 0 0 0 0 0 0
-0.2693709621 -0.0787274612 -0.1604860073 -0.6401812634 -0.283294492 -0.5583941466 -1.271941877 0.4098459673 0.8775368368 0.5361942204 0.2176563517 0 0 0 0 0 0 0 0 0
0.2945942015 0.5757259741 -1.1394633316 0.8967968204 0.1209510082 -0.3675313364 -0.1887462314 0.1317263714 0.6993136006 0.1388009826 -0.1923086857 0 0 0 0 0 0 0 0 0
-0.0259760357 -0.4161366387 0.1711082698 -0.6227811633 -0.3148070064 -0.4903997238 -0.6436864142 0.3250528393 0.9721120001 0.440701594 -0.0864666513 0 0 0 0 0 0 0 0 0
0.0080132602 -0.3389762151 -1.5835772243 -0.108866774 -2.0917389845 0.1979581932 -0.2427448077 -0.0562996903 0.5768206301 -0.0392546299 0.0115425643 0 0 0 0 0 0 0 0 0
