Raf Mek Plcg PIP2 PIP3 Erk Akt PKA PKC P38 Jnk I_1 I_2 I_3 I_4 I_5 I_6 I_7 I_8 I_9
0 0 0 0 2 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0
0 0 1 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0
1 2 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0
2 2 2 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 1 0 0 1 2 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 1 1 1 2 2 0 0 0 0 0 0 0 0 0
1 2 0 1 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0
1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0
2 2 0 0 1 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0
0 1 0 2 1 0 2 0 1 1 2 0 0 0 0 0 0 0 0 0
0 0 1 0 0 1 1 0 2 2 1 0 0 0 0 0 0 0 0 0
2 1 0 0 1 1 1 0 2 2 1 0 0 0 0 0 0 0 0 0
2 2 0 1 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0
0 2 0 0 0 1 0 0 1 2 2 0 0 0 0 0 0 0 0 0
0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 1 1 0 2 2 0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0
1 2 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 1 1 0 2 2 0 0 0 0 0 0 0 0 0 0
1 0 1 1 1 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 1 2 1 1 1 0 0 0 0 0 0 0 0 0
0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
1 2 0 1 1 2 2 2 0 2 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 0 1 0 2 2 2 0 0 0 0 0 0 0 0 0
2 2 1 0 0 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0
0 0 0 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
2 0 1 0 0 0 1 0 2 2 2 0 0 0 0 0 0 0 0 0
0 1 1 1 1 2 2 0 1 2 2 0 0 0 0 0 0 0 0 0
1 1 1 1 1 0 0 1 2 2 1 0 0 0 0 0 0 0 0 0
1 0 1 0 0 1 2 2 1 2 1 0 0 0 0 0 0 0 0 0
1 2 1 0 0 0 0 1 2 2 1 0 0 0 0 0 0 0 0 0
2 2 0 2 1 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0
1 0 1 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
1 0 0 1 0 1 1 0 2 1 1 0 0 0 0 0 0 0 0 0
1 0 0 0 1 1 1 0 2 2 1 0 0 0 0 0 0 0 0 0
1 1 1 1 1 2 2 0 1 1 0 0 0 0 0 0 0 0 0 0
2 2 0 1 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0
1 0 1 1 1 0 1 1 2 2 2 0 0 0 0 0 0 0 0 0
1 2 0 0 1 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0
2 1 2 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
2 2 0 2 2 1 1 0 1 2 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0
1 2 2 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
2 0 1 1 1 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0
1 0 0 0 1 0 1 0 2 2 1 0 0 0 0 0 0 0 0 0
2 2 0 0 0 1 1 2 2 2 2 0 0 0 0 0 0 0 0 0
2 2 0 0 1 1 1 0 2 2 0 0 0 0 0 0 0 0 0 0
1 2 0 1 1 0 1 2 1 1 2 0 0 0 0 0 0 0 0 0
2 0 2 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 2 2 2 0 1 0 0 0 0 0 0 0 0 0 0
1 1 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0
2 2 1 1 1 1 1 0 2 2 0 0 0 0 0 0 0 0 0 0
1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
2 2 0 2 1 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
2 2 1 1 0 0 1 2 2 2 1 0 0 0 0 0 0 0 0 0
1 0 0 1 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0
2 2 1 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0
0 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
2 2 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0
2 2 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 2 2 2 2 2 1 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0
